repositoryGitHubSlug,npmPackageName,versionOfInterest,versionOfInterestReleaseDate
clay/clay-kiln,clay-kiln,5.2.0,2017-11-30T22:12:06.912Z
GoogleChromeLabs/jsvu,jsvu,1.9.2,2019-10-04T15:50:16.589Z
marmelab/aor-rich-text-input,aor-rich-text-input,1.0.1,2017-04-12T15:27:19.353Z
Originate/o-tools-node,o-tools,0.4.10,2016-07-06T15:29:28.441Z
thenativeweb/limes,limes,0.5.0,2015-11-03T12:02:43.689Z
gordonmleigh/promised-mongo,promised-mongo,1.2.0,2015-07-02T08:46:58.272Z
selcher/gif-search,gif-search,1.0.0,2017-04-30T19:00:59.368Z
loganvolkers/json-schema-resolve-allof,json-schema-resolve-allof,1.1.1,2016-07-29T05:08:07.846Z
tunnckoCore/opensource,parse-function,5.4.5,2019-11-20T19:48:02.658Z
SAP/spartacus/tree/develop/projects/storefrontlib,@spartacus/storefront,1.4.3,2020-06-07T12:23:19.013Z
lyroyce/mocha-tap-reporter,mocha-tap-reporter,0.1.3,2015-03-22T06:30:52.078Z
biggora/caminte,caminte,0.3.6,2017-02-11T19:20:38.458Z
Cox-Automotive/alks-node,alks-node,0.11.0,2020-09-14T13:59:30.563Z
liqwid/localforage-lru-driver,localforage-lru-driver,1.0.3,2017-03-28T19:54:45.774Z
miktam/key-del,key-del,1.0.1,2015-03-25T17:50:49.689Z
cultureamp/babel-elm-assets-plugin,babel-elm-assets-plugin,1.2.2,2019-05-17T06:18:13.568Z
burtonator/polar-shared,polar-shared,1.60.7,2019-11-22T22:38:38.089Z
localtunnel/localtunnel,localtunnel,1.8.1,2016-01-20T21:32:43.059Z
CampbellSoftwareSolutions/mongoose-id-validator,mongoose-id-validator,0.5.4,2019-12-02T20:17:58.688Z
cibernox/ember-native-dom-helpers,ember-native-dom-helpers,0.6.2,2018-02-20T22:55:12.955Z
jonschlinkert/load-helpers,load-helpers,0.2.5,2015-09-11T17:21:24.094Z
actions/http-client,@actions/http-client,1.0.2,2020-01-17T17:42:42.484Z
cozy/americano,americano,0.4.4,2016-02-22T12:02:30.697Z
remarkjs/remark-math/tree/main/packages/remark-math,remark-math,1.0.4,2018-05-10T14:09:02.742Z
pgilad/gulp-sitemap,gulp-sitemap,2.1.0,2015-04-25T15:57:19.374Z
vusion/webfonts-generator,@vusion/webfonts-generator,0.5.5,2019-07-01T11:47:40.617Z
amazon-connect/amazon-connect-chatjs,amazon-connect-chatjs,1.1.0,2020-12-22T04:07:22.377Z
ericfong/datavan,datavan,1.7.0,2017-05-12T05:39:15.689Z
kkoch986/sourcemap-lookup,sourcemap-lookup,0.0.1,2016-03-25T00:19:08.856Z
dvsa/eslint-config-ts,@dvsa/eslint-config-ts,2.0.0,2020-09-14T11:44:08.722Z
Twipped/joi-to-swagger,joi-to-swagger,5.0.0,2020-08-13T17:29:15.680Z
macbre/analyze-css,analyze-css,0.9.6,2015-03-18T20:36:38.338Z
ember-cli/broccoli-sane-watcher,ember-cli-broccoli-sane-watcher,2.2.0,2018-09-26T18:59:23.445Z
salman-monetate/react-component-export-image,react-component-export-image,1.0.2,2020-11-11T22:54:46.202Z
snyk/snyk-cpp-plugin,snyk-cpp-plugin,1.4.0,2020-08-25T08:50:56.541Z
smartcar/javascript-sdk,@smartcar/auth,2.2.2,2019-07-10T17:19:54.302Z
streamich/iconista,iconista,2.6.0,2019-03-31T19:19:37.225Z
aMarCruz/rollup-plugin-cleanup,rollup-plugin-cleanup,3.2.0,2020-09-23T00:54:03.057Z
distributed-systems/section-tests,section-tests,1.2.0,2017-03-21T00:36:14.178Z
apollographql/gatsby-theme-apollo,gatsby-theme-apollo-docs,0.0.5,2019-02-05T23:33:20.199Z
busterjs/grunt-buster,grunt-buster,0.4.2,2016-01-06T17:54:15.994Z
SAP/ui5-builder,@ui5/builder,1.4.1,2019-08-14T09:13:37.961Z
syntax-tree/hast-util-raw,hast-util-raw,5.0.1,2019-05-25T10:38:05.438Z
kikobeats/cb2promise,cb2promise,1.0.5,2017-03-02T22:26:38.005Z
git@code.tls.nuskin.io:ns-am/nu-skin-aem/wm/ns-checkout-common,@nuskin/ns-checkout-common,3.16.0,2019-11-07T15:15:18.616Z
tommoor/react-emoji-render,react-emoji-render,0.4.6,2018-09-25T02:47:59.004Z
firebase/firebase-queue,firebase-queue,1.3.1,2016-04-18T17:56:50.873Z
charlesvinette/react-native-haptic,react-native-haptic,1.0.3,2017-01-12T20:56:06.727Z
autoNumeric/autoNumeric,autonumeric,2.0.1,2017-01-30T04:26:25.080Z
aviklai/react-leaflet-google-layer,react-leaflet-google-layer,1.1.5,2020-10-13T17:48:02.834Z
tiansijie/ObjLoader,obj-mtl-loader,0.0.3,2015-06-17T04:51:05.753Z
qimingweng/react-modal-dialog,react-modal-dialog,1.0.3,2015-11-14T04:57:46.795Z
ibm-developer/generator-ibm-service-enablement,generator-ibm-service-enablement,3.5.4,2019-12-04T18:30:37.567Z
git@github.com:proyecto26/react-native-inappbrowser,react-native-inappbrowser-reborn,1.3.3,2018-10-09T23:25:51.005Z
fernandoherlo/vue-core,@fernandoherlo/vue-core,0.12.0,2020-04-03T20:04:35.767Z
leodido/postcss-clean,postcss-clean,1.0.1,2016-04-19T13:43:17.320Z
tabalinas/jsgrid,jsgrid,1.0.1,2015-03-06T20:08:44.458Z
GitbookIO/markup-it,markup-it,3.3.4,2017-03-01T16:50:20.257Z
PolymerElements/iron-form-element-behavior,@polymer/iron-form-element-behavior,0.0.4,2017-01-06T07:30:30.371Z
flesler/jquery.scrollTo,jquery.scrollto,2.1.1,2015-06-08T18:36:01.677Z
cube-js/cube.js,@cubejs-client/core,0.17.0,2020-02-04T02:52:27.406Z
solidui/solid/blob/main/packages/babel-preset-solid,babel-preset-solid,0.16.6,2020-02-02T05:48:08.315Z
mazerte/grunt-jscpd,grunt-jscpd,0.0.12,2016-08-24T09:24:59.312Z
ChrisWren/grunt-node-inspector,grunt-node-inspector,0.1.6,2015-02-24T21:41:26.254Z
remirror/remirror/tree/master/@remirror/react-renderer,@remirror/react-renderer,0.7.0,2019-11-18T21:47:27.019Z
EOSIO/tslint-config-blockone,@blockone/tslint-config-blockone,4.0.1,2019-06-11T16:39:45.645Z
Brightspace/node-jwk-to-pem,jwk-to-pem,1.2.6,2016-11-15T16:11:46.153Z
sharynjs/sharyn,sharyn,3.10.1,2018-09-11T10:01:34.121Z
tkellen/node-sqlite-to-json,sqlite-to-json,0.1.2,2015-02-25T13:44:24.304Z
remarkjs/remark-lint/tree/main/packages/remark-lint-list-item-content-indent,remark-lint-list-item-content-indent,1.0.0,2017-02-23T17:26:04.321Z
fluffynuts/gulp-msbuild,gulp-msbuild,0.2.20,2016-01-30T20:32:36.971Z
smt116/node-native-loader,native-ext-loader,1.0.0,2017-10-03T15:39:45.850Z
RikkiGibson/isomorphic-xml2js,isomorphic-xml2js,0.0.2,2018-05-02T23:34:01.534Z
MatthieuLemoine/ssh2-client,ssh2-client,1.1.1,2016-09-12T12:13:49.900Z
atlas-engine/AtlasEngine.Core.Contracts,@atlas-engine/core_domain.contracts,0.4.3,2020-02-24T13:44:25.460Z
slackapi/bolt,@slack/bolt,2.5.0,2020-11-25T23:28:16.171Z
elwayman02/ember-is-visible,ember-is-visible,0.2.0,2018-11-09T21:39:17.030Z
git@code.tls.nuskin.io:ns-am/nu-skin-aem/wm/ns-shop,@nuskin/ns-shop,3.34.7,2020-08-03T17:06:58.369Z
nytimes/pretty-lights,pretty-lights,0.0.12,2020-01-13T20:25:18.696Z
strongloop/strong-arc-filesystem,strong-arc-filesystem,1.0.5,2017-06-27T17:10:38.911Z
reakit/reakit/tree/master/packages/reakit-system,reakit-system,0.13.0,2020-06-17T11:48:32.760Z
thaibault/archinstall,archinstall,1.0.101,2018-10-30T15:13:32.795Z
matgr1/read-text-file,read-text-file,1.0.2,2016-10-21T15:12:59.662Z
shinnn/download-purescript-source,download-purescript-source,0.6.1,2019-01-14T11:12:13.285Z
dockyard/ember-async-button,ember-async-button,1.0.0,2016-04-19T19:06:36.544Z
midniteio/multi-cuke,multi-cuke,0.4.3,2016-03-16T23:46:59.600Z
kevinbeaty/fs-promise,fs-promise,2.0.1,2017-03-23T20:29:29.232Z
Belema/request-etag,request-etag,1.1.2,2016-01-14T16:01:22.231Z
IonicaBizau/class-methods,class-methods,1.0.5,2017-03-20T16:06:23.024Z
eventualbuddha/add-variable-declarations,add-variable-declarations,1.2.0,2016-02-25T20:19:46.582Z
svgstore/svgstore-cli,svgstore-cli,1.3.2,2020-05-21T15:14:55.684Z
baldore/webpack-open-plugin,open-browser-webpack-plugin,0.0.5,2017-03-09T20:52:27.751Z
isaacs/jackspeak,jackspeak,1.3.5,2019-04-19T16:13:09.866Z
AbdulrhmanBeatz/3amyah,3amyah,0.1.0,2019-03-17T15:53:57.159Z
kaliber5/ember-drag-sort,ember-drag-sort,1.1.1,2017-11-15T09:33:34.235Z
obipawan/hyperlink,react-native-hyperlink,0.0.9,2017-04-16T06:47:31.644Z
SonarSource/sonarjs-cli,sonarjs,1.0.0,2017-12-13T11:07:19.955Z
frontarm/mdx-util,mdx-loader,2.1.0,2018-12-16T04:19:08.828Z
mike-north/ember-windoc,ember-windoc,0.3.1,2018-11-11T06:53:58.967Z
baudzilla/promise-pool-executor,promise-pool-executor,1.0.1,2017-08-08T06:10:36.112Z
tjindapitak/text-ellipsis,react-text-ellipsis,1.4.0,2018-04-17T07:51:04.097Z
medikoo/es5-ext/tree/ext,ext,1.2.0,2019-11-07T14:31:53.464Z
evenchange4/react-intl.macro,react-intl.macro,0.2.3,2019-01-25T07:53:19.928Z
salesforce/lwc-test,@lwc/jest-resolver,8.0.0,2020-06-17T00:17:54.644Z
nygardk/react-share,react-share,1.2.1,2015-11-15T09:48:15.058Z
goatslacker/alt,alt,0.13.0,2015-02-10T06:16:29.879Z
marchah/node-countries,node-countries,1.3.6,2018-03-12T20:37:48.725Z
saasquatch/squatch-js,@saasquatch/squatch-js,2.1.1,2018-10-19T15:41:47.078Z
JedWatson/react-tappable,react-tappable,0.3.3,2015-02-21T06:32:25.247Z
keplersj/eslint-config-starstuff,eslint-config-starstuff,1.3.3,2020-01-26T03:54:23.920Z
sasstools/grunt-sass-lint,grunt-sass-lint,0.2.4,2017-10-03T01:10:10.999Z
tryggvigy/pseudo-localization,pseudo-localization,2.1.1,2019-07-26T14:19:30.811Z
mvila/co-retry,co-retry,1.0.5,2015-03-14T02:06:35.891Z
AdamPflug/express-brute,express-brute,1.0.0,2016-08-22T17:47:37.049Z
cscott/node-icu-bidi,icu-bidi,0.1.6,2016-06-22T07:56:59.203Z
meandmax/lory,lory.js,2.4.3,2018-04-20T11:26:29.014Z
meepobrother/meepo-bmap,meepo-bmap,1.0.7,2017-12-20T06:32:41.772Z
omnidan/redux-undo,redux-undo,0.1.0,2015-09-17T22:13:07.060Z
cognitedata/frontend,@cognite/eslint-config,1.2.0,2019-08-12T12:40:36.989Z
croquiscom/Crary-Node,@croquiscom/crary-express,0.1.3,2019-07-08T19:24:07.816Z
babel-utils/babel-identifiers,babel-identifiers,2.0.1,2020-04-16T02:37:34.101Z
getsentry/sentry-react-native,@sentry/react-native,1.6.1,2020-07-06T18:42:48.772Z
stellar/js-xdr,js-xdr,0.0.12,2015-12-02T10:31:18.028Z
itgalaxy/robotstxt-webpack-plugin,robotstxt-webpack-plugin,1.0.0,2016-11-11T10:34:34.820Z
FormidableLabs/spectacle,spectacle,4.0.1,2017-11-09T19:02:32.314Z
jonkemp/inline-css/tree/master/packages/css-rules,css-rules,1.0.9,2020-01-26T04:16:26.734Z
matthias-schuetz/karma-htmlfile-reporter,karma-htmlfile-reporter,0.3.6,2018-08-08T19:49:59.249Z
rijs/delay,rijs.delay,0.0.2,2015-09-03T21:11:15.326Z
midknight41/map-factory,map-factory,3.6.1,2017-12-12T09:52:32.690Z
convoyinc/protobind,protobind,1.0.12,2018-07-09T15:39:38.387Z
react-native-community/react-native-modal,react-native-modal,0.2.6,2015-04-14T16:50:41.289Z
RuntimeTools/appmetrics,appmetrics,1.1.2,2016-10-26T15:15:53.030Z
jlord/git-it,git-it,1.6.8,2015-05-31T21:38:59.627Z
electron-userland/electron-installer-debian,electron-installer-debian,0.5.0,2017-02-19T21:35:58.015Z
emberjs/data/tree/master/packages/record-data,@ember-data/record-data,3.20.5,2020-11-06T02:16:48.295Z
Liroo/react-native-mime-types,react-native-mime-types,2.2.0,2016-12-23T14:24:39.841Z
enquirer/radio-symbol,radio-symbol,0.2.2,2017-04-29T02:08:14.557Z
acornjs/acorn-numeric-separator,acorn-numeric-separator,0.1.0,2017-12-20T10:57:00.647Z
gdowens/react-toggle-button,react-toggle-button,1.0.2,2016-06-27T16:10:58.487Z
keystonejs/keystone-5/tree/main/packages/arch/packages/common,@arch-ui/common,0.0.4,2019-05-13T23:05:25.083Z
blackflux/lambda-monitor,lambda-monitor,2.2.31,2020-03-04T22:47:23.640Z
Mnark/pisky,pisky,0.0.286,2015-12-06T15:08:31.753Z
Morglod/figma-api,figma-api,1.5.0,2019-05-18T17:34:36.536Z
jprichardson/node-github-download,github-download,0.5.0,2016-05-04T19:46:55.855Z
sendanor/nor-is,nor-is,0.1.17,2015-04-15T21:25:18.646Z
realm-js/realm-utils,realm-utils,1.0.2,2016-09-16T10:42:02.412Z
qix-/node-error-ex,error-ex,1.3.2,2018-06-19T06:20:32.836Z
terikon/marker-animate-unobtrusive,marker-animate-unobtrusive,0.2.6,2015-08-01T16:17:46.212Z
stefanhayden/g-image-search,g-image-search,1.0.0,2016-04-10T19:37:47.259Z
claygifford/pm-controls,pm-controls,1.0.0,2018-01-23T19:44:35.611Z
fannon/semlog,semlog,0.5.0,2015-12-14T09:05:13.655Z
wessberg/rollup-plugin-ts,@wessberg/rollup-plugin-ts,1.0.6,2018-10-18T17:36:45.230Z
brandonpittman/gridsome-plugin-tailwindcss,gridsome-plugin-tailwindcss,2.2.25,2019-09-12T04:30:25.645Z
fippo/rtcpeerconnection-shim,rtcpeerconnection-shim,1.2.1,2017-11-24T11:03:57.520Z
rscopes/rescope,rescope,3.7.2,2018-05-07T12:48:40.567Z
nolanlawson/node-websql,@expo/websql,1.0.1,2018-05-19T01:14:40.093Z
sindresorhus/deep-assign,deep-assign,1.0.0,2015-09-14T09:01:34.909Z
keystonejs/keystone-5/tree/main/packages/arch/packages/alert,@arch-ui/alert,0.0.10,2019-12-11T03:43:18.486Z
NewOldMax/react-material-ui-form-validator,react-material-ui-form-validator,1.1.4,2018-04-19T06:45:55.050Z
corybill/preconditions,preconditions,2.2.0,2016-07-14T18:59:18.693Z
npm/libnpmsearch,libnpmsearch,3.1.0,2020-12-08T23:54:18.374Z
LottieFiles/lottie-player,@lottiefiles/lottie-player,0.2.0,2019-07-08T01:26:28.732Z
Wzpan/hexo-generator-search,hexo-generator-search,2.4.0,2018-12-22T06:59:06.396Z
leefsmp/Re-Flex,react-reflex,3.0.1,2018-11-04T16:01:13.472Z
felixge/node-combined-stream,combined-stream,1.0.3,2015-05-19T12:43:10.026Z
bmac/ember-cli-content-for-config,ember-cli-content-for-config,1.0.0,2015-04-15T12:52:28.520Z
andreruffert/rangeslider.js,rangeslider.js,2.2.2,2016-11-30T23:20:21.776Z
molgenis/molgenis-vue-test-utils,@molgenis/molgenis-vue-test-utils,1.0.0,2017-09-07T07:00:29.845Z
atmajs/MaskJS,maskjs,0.71.45,2020-01-21T08:57:36.004Z
kenny-hibino/react-places-autocomplete,react-places-autocomplete,2.14.0,2017-02-10T07:06:49.442Z
spatie/npm-install-peers,npm-install-peers,1.0.1,2016-01-24T11:49:17.129Z
poppinss/node-res,node-res,5.0.1,2018-08-22T07:52:46.052Z
fuqcool/node-stringify,node-stringify,0.0.19,2015-12-07T20:31:16.521Z
edge/nick,nick,0.0.7,2015-06-23T08:02:59.133Z
tnicola/cypress-parallel,cypress-parallel,0.1.5,2020-07-01T13:14:31.068Z
miles-no/nocms-publishing,nocms-publishing,1.6.1,2017-12-05T07:58:28.784Z
nodejs/string_decoder,string_decoder,1.0.0,2017-04-06T13:38:19.155Z
ionic-team/stencil,@stencil/core,1.6.1,2019-10-08T17:38:30.291Z
you21979/node-simple-verify,@you21979/simple-verify,0.0.1,2016-05-31T08:50:53.454Z
iron-io/iron_core_node,iron_core,0.2.6,2015-12-18T14:52:17.017Z
TheComputerM/svelte-materialify,svelte-materialify,0.1.8,2020-09-23T15:30:01.302Z
i18next/i18next-fluent,i18next-fluent,1.0.0,2019-11-22T06:56:58.856Z
alexplumb/material-ui-phone-number,material-ui-phone-number,2.2.3,2019-11-12T15:23:13.873Z
nico3333fr/jquery-accessible-carrousel-aria,jquery-accessible-carrousel-aria,1.7.1,2017-04-14T14:28:25.501Z
remarkjs/remark/tree/main/packages/remark,remark,5.1.0,2016-08-09T15:59:08.509Z
bolt-design-system/bolt/tree/master/packages/components/bolt-blockquote,@bolt/components-blockquote,1.0.3,2018-04-03T22:24:50.361Z
jeremyscalpello/node-2fa,node-2fa,1.1.1,2016-09-21T18:57:56.710Z
alex3165/react-leaflet-draw,react-leaflet-draw,0.10.1,2016-09-04T09:32:20.913Z
rollout/roxjs,rox-node,1.0.1,2017-09-07T10:09:46.256Z
bytenode/bytenode,bytenode,0.1.0,2018-10-24T14:16:46.044Z
git@source.arisan.io:clio/front-end,@arisan/front-end,2.13.6,2017-05-04T05:16:23.689Z
knoword/ui,knoword-ui,0.2.12,2016-04-26T05:03:30.548Z
dmonad/lib0,lib0,0.2.31,2020-07-06T15:26:09.583Z
apache/cordova-windows,cordova-windows,4.1.0,2015-08-28T01:29:49.372Z
reggi/monorepo-dep-lint-cli,@reggi/monorepo-dep-lint-cli,0.0.177,2018-07-28T22:35:18.419Z
insin/nwb-sass,nwb-sass,0.10.2,2020-05-06T05:53:30.056Z
DoctorMcKay/node-globaloffensive,globaloffensive,1.0.0,2015-12-22T23:28:02.165Z
75lb/sort-array,sort-array,3.0.4,2019-10-25T18:54:48.978Z
darekf77/ng2-rest,ng2-rest,9.1.7,2018-08-21T12:18:08.846Z
jumpn/utils-promise,@jumpn/utils-promise,0.1.0,2017-09-22T23:22:41.489Z
rxweb/rxweb/tree/master/client-side/angular/packages/reactive-form-validators#readme,@rxweb/reactive-form-validators,1.9.6,2019-11-01T09:13:43.141Z
react-component/collapse,rc-collapse,1.9.3,2018-07-16T06:29:07.214Z
planttheidea/identitate,identitate,1.0.1,2019-01-05T14:25:21.193Z
dumberjs/modify-code,modify-code,0.5.3,2019-07-16T05:28:24.037Z
ardatan/graphql-toolkit,@graphql-toolkit/common,0.10.5,2020-04-24T09:31:15.817Z
emonney/ngx-toasta,ngx-toasta,1.0.1,2019-07-06T11:29:24.584Z
carbon-io/test-tube,@carbon-io/test-tube,0.4.1,2017-02-23T21:09:04.655Z
geigerzaehler/sum-types,sum-types,0.9.2,2016-09-13T08:08:23.937Z
DataTables/Dist-DataTables-RowGroup-Bootstrap4,datatables.net-rowgroup-bs4,1.0.3,2018-06-19T13:49:57.352Z
derickbailey/mustbe,mustbe,0.4.0,2015-12-17T18:17:15.934Z
lonelyplanet/rizzo-next,rizzo-next,0.25.1,2017-08-28T16:37:56.931Z
strapi/strapi,strapi-admin,3.0.2,2020-06-15T15:09:38.972Z
WickyNilliams/react-simple-colorpicker,react-simple-colorpicker,1.2.0,2015-10-12T19:14:05.952Z
stackcss/postcss-prefix,postcss-prefix,1.0.0,2015-11-01T05:10:28.812Z
garthk/lab-transform-typescript,lab-transform-typescript,3.0.1,2017-01-30T04:38:11.500Z
webex/spark-js-sdk/tree/master/packages/node_modules/@ciscospark/media-engine-webrtc,@ciscospark/media-engine-webrtc,1.23.4,2018-01-13T00:08:25.063Z
seatgeek/react-infinite,react-infinite,0.7.1,2015-11-17T05:02:27.603Z
bitpay/bitcore-mnemonic,bitcore-mnemonic,8.20.3,2020-05-16T00:14:31.109Z
ankane/react-chartkick,react-chartkick,0.2.0,2018-03-27T04:54:44.684Z
